num_prop;joueur;type_def;definition
1;PdG;s;Accessoire de pêche au flotteur de forme oblongue.
2;pegaz86;s;Nom commun. Masc. Nom du phénomène physique résultant de l’attraction gravitationnelle de la terre sur corps céleste en or[b]bite[/b] décrivant une [b]cour[/b]be [b]cu[/b]rviligne.
3;k_raf;s;De forme bombée et légèrement courbe.
4;Okocedion;f;Bite en forme de cure-dent, ce qui nécessite d'être très souple pour s'en servir.
5;FDJ24;f;Cucurbite était à l'origine le prénom de N-Mi, mais après des années de moqueries, il à pu à sa majorité le faire changer. Aujourd'hui il se sent prêt à nous raconter ses souffrances d’adolescence, c'est un témoignage signé HFR prod, au montage Sylvain Guntafenbois.
6;PdG;f;On distingue trois types de cucurbites, celui de l'Orne, le cucurbite à Sées, le cucurbite ambois de la ville d'Amboise en Indre et Loire et le cucurbite okudoku, apprécié par Nanab.
7;FDJ24;s;Le Cucurbite est une espèce d'arbuste de la famille des Euphorbiaceae originaire du Brésil. En Afrique, il est appelé pourghère, ou tabanani en wolof, ou bagani (« poison ») en bambara à cause de sa toxicité.
8;akanico;s;Cervidé des régions arctiques et subarctiques de l'Europe, de l'Asie et de l'Amérique du Nord.
9;arkaon93;f;Grade attribué par défaut à tout les spermophiles qui s'engagent pour des noisettes.
10;fortex68;s;God michet pour moules avariées.
11;Popoll;s;Office monacal de confession baptiste.
12;Okocedion;s;Espèce d'échassiers limicoles vivant dans les contreforts du Kilimandjaro.
13;pegaz86;f;Nom officiel proposé par l'Académie française pour le terme KuKuBeaT qui désigne le rythme très particulier des chansons paillarde Kukurde.
14;k_raf;f;"Légume dont le goût rappelle celui de la courbette ou du cruchon, mais qui n'a absolument rien à voir avec une courgette ni un cornichon. Il a la couleur de l'émeraude, sans être tout à fait vert. En anglais, on le désigne sous le nom d'origine italienne ""Luchini"", comme l'acteur mais surtout pas comme le même nom en ""z""."
15;Popoll;f;Premier mot prononcé à sa naissance en 69 (l'année, pas la position) par Dick Sionnaire, l'inventeur du jeu du dico.
16;akanico;f;Outil pour nettoyer les mythes.
17;arkaon93;s;Adjectif péjoratif alsacien utilisé par la communauté anabaptiste amish pour dénigrer les adolescents qui subissent leur rite de passage.
18;LA_VRAIE;s;Partie inférieure de la chaudière de l'alambic, où l'on met les matières à distiller.
19;nanab;s;n.f Inflammation de la seconde membrane interne du scrotum masculin. Membrane en forme de gourde.
20;fortex68;f;Un cucurbite est un petit outil long et pointu, permettant de se cu-curer la bite. Quand on en a marre, on lui dit: Cucurbite, assez !
21;nanab;f;Maladie qui arrive à force de trop mater des culs. Comme le Kudoko. Au bout d'un moment, l'image d'un cul reste gravée dans la rétine, dans l'oeil. Par extrapopollisation, on dit alors qu'on a le cucul dans l'orbite. D'où Cucurbite.
